,cubic,a_cubic,fwhm_cubic,I_cubic_1,tetragonal,a_tetragonal,c_tetragonal,fwhm_tetragonal,I_tetragonal_1,I_tetragonal_2,I_tetragonal_3,I_tetragonal_4
65,0,5.5,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,0,5.46875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
67,1,5.686073410543491,4.056943986921766,8.35603693,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
68,1,5.665563469270635,3.412928009401458,6.70146385,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
69,1,5.729608323370522,3.8143554056560105,7.03764151,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
70,1,5.744771219220232,4.535511279515575,6.71376509,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,1,5.710432912342156,4.459099546183393,5.56641717,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
72,1,5.6321820837879155,4.105276508124446,5.66531312,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,0,5.65625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,1,5.913229716156354,6.101627347839761,3.8308999,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,1,5.573651980197901,3.2850666916661604,3.60287751,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
76,0,5.625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,1,5.6936617860870395,5.5670115914525375,3.36390201,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78,1,5.5282248957492435,3.0900347548614024,6.40706125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,0,5.5625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,0,5.546875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,0,5.546875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
82,0,5.5,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83,0,5.484375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,1,5.707012242420494,3.4622262163444013,6.81310304,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85,1,5.703108751230708,3.5857245175534405,6.34434899,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
86,1,5.697092986852821,4.929929279395064,8.29581732,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,1,5.835007295499351,4.450372364162856,6.54782652,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
88,1,5.805575788061706,3.578286875046051,4.96808074,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,1,5.754624075220395,3.5545215127934133,4.79141441,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,1,5.6528318045875166,2.955128969793379,5.15214532,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
91,1,5.617143629217757,4.909353812031831,4.14632204,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,1,5.630330504174872,4.768488509667381,4.79840589,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93,0,5.640625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,0,5.625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,1,5.607063416466691,6.0087830257902874,3.62511921,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96,1,5.615741306009772,2.8523843620316773,3.75741172,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,0,5.5625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,0,5.53125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100,0,5.53125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,0,5.5,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
102,1,5.72784209787534,3.644773212613855,8.25057148,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,1,5.750854928017849,3.219505415258685,7.22261655,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104,1,5.635800782019146,3.593897152348693,7.63290922,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,1,5.757993670849105,3.956930996838648,5.62350959,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
106,1,5.759515026365111,4.56878094928353,7.17231251,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
