,X (mm),Y (mm),Si (at. %),Ge (at. %),Sn (at. %),I (A),m (g),ρ (g/cm³),l (mg/cm²),d (µm)
86,13.75,38.15,0.2151476379224113,0.613925743793785,0.17092661828380376,5.215558754116865e-07,3.136683915068559e-07,5.6369242,0.071,0.126
87,8.75,38.15,0.23013514007281258,0.5922567011888474,0.17760815873833993,5.389827644311171e-07,3.225041208450772e-07,5.6429975,0.073,0.128
88,3.75,38.15,0.25310288080571364,0.5676048186112216,0.17929230058306467,5.462494534048322e-07,3.225041208450772e-07,5.6247385,0.073,0.13
89,-1.25,38.15,0.269233383477914,0.5439316905495999,0.18683492597248613,5.417085954540195e-07,3.180862561759665e-07,5.6330236000000005,0.072,0.127
90,-6.25,38.15,0.2936852941865923,0.515539342452262,0.19077536336114584,5.412811907491268e-07,3.136683915068559e-07,5.6206483,0.071,0.127
91,-11.25,38.15,0.3093661057151459,0.4936031201689858,0.19703077411586845,5.521662145564558e-07,3.180862561759665e-07,5.6241915,0.072,0.127
92,-16.25,38.15,0.3467080581599798,0.4559013664989703,0.19739057534104984,5.580277118613895e-07,3.136683915068559e-07,5.585585900000001,0.071,0.127
93,-21.25,38.15,0.35860550225074417,0.43400250949010705,0.20739198825914884,5.507440987240604e-07,3.0925052683774533e-07,5.6063792,0.07,0.124
94,-26.25,38.15,0.4003505358916512,0.39374888307216566,0.20590058103618314,5.591625546829738e-07,3.0483266216863466e-07,5.554806800000001,0.069,0.124
95,-31.25,38.15,0.4287563001321303,0.36640251312907923,0.20484118673879054,5.62504385395501e-07,3.00414797499524e-07,5.5171956,0.068,0.123
96,-36.25,38.15,0.4623827864377655,0.3292116324032887,0.20840558115894584,5.4943445187872e-07,2.8716120349219206e-07,5.4902783,0.065,0.118
97,-41.25,38.15,0.5001296874536327,0.29716349249128526,0.202706820055082,5.49818752617845e-07,2.7832547415397076e-07,5.4194715,0.063,0.115
98,-46.25,38.15,0.5304654932282956,0.2675517967993836,0.20198270997232076,5.271394482741315e-07,2.6065401547752817e-07,5.3750874,0.059,0.11
99,-51.25,38.15,0.569352847739027,0.23973958645061572,0.19090756581035725,5.389342988343407e-07,2.5623615080841754e-07,5.2722566,0.058,0.11
100,-56.25,38.15,0.5735709256699651,0.2292656568749644,0.19716341745507043,5.101460213424379e-07,2.4298255680108557e-07,5.292303700000001,0.055,0.105
101,-61.25,38.15,0.6264816311085193,0.1957450024356968,0.17777336645578387,4.824133132153551e-07,2.164753687864217e-07,5.119910600000001,0.049,0.096
102,23.75,43.15,0.16888040483333255,0.6458611339798666,0.18525846118680095,4.810109002288251e-07,3.00414797499524e-07,5.7235046,0.068,0.118
103,18.75,43.15,0.20400167871643457,0.6130658343365705,0.18293248694699496,5.138982240404727e-07,3.136683915068559e-07,5.6841555,0.071,0.125
104,13.75,43.15,0.19455533587464177,0.6082185413076105,0.19722612281774776,5.063562780381809e-07,3.136683915068559e-07,5.7364146,0.071,0.124
105,8.75,43.15,0.22407338327399337,0.5765819526683217,0.19934466405768497,5.221385462531182e-07,3.180862561759665e-07,5.715243399999999,0.072,0.125
106,3.75,43.15,0.24713987828667125,0.5484822709979116,0.20437785071541711,5.133212137516092e-07,3.0925052683774533e-07,5.7090467,0.07,0.123
107,-1.25,43.15,0.261564109528173,0.5260178120096939,0.21241807846213306,5.300186255842129e-07,3.180862561759665e-07,5.7201909,0.072,0.126
108,-6.25,43.15,0.26726443237105635,0.513750480333786,0.2189850872951577,5.297081069181576e-07,3.180862561759665e-07,5.735596,0.072,0.125
109,-11.25,43.15,0.3111506448873381,0.4710768562701416,0.2177724988425203,5.451361533107051e-07,3.180862561759665e-07,5.6892778999999996,0.072,0.126
110,-16.25,43.15,0.3310735961546947,0.4446875781807092,0.22423882566459613,5.42212015816001e-07,3.136683915068559e-07,5.690245200000001,0.071,0.124
111,-21.25,43.15,0.35891568122956063,0.41103622184767213,0.23004809692276723,5.500561734717997e-07,3.136683915068559e-07,5.6811201,0.071,0.125
112,-26.25,43.15,0.3889636033993332,0.37883420646586274,0.23220219013480392,5.446000107086922e-07,3.0483266216863466e-07,5.6572642,0.069,0.122
113,-31.25,43.15,0.4127325367534839,0.3535255313035867,0.23374193194292944,5.449179223001707e-07,3.00414797499524e-07,5.6377537,0.068,0.121
114,-36.25,43.15,0.44760549098945107,0.31949236881157494,0.23290214019897407,5.339015511836755e-07,2.8716120349219206e-07,5.5957225,0.065,0.117
115,-41.25,43.15,0.48346993907860575,0.28962920397505,0.22690085694634438,5.332320127837529e-07,2.7832547415397076e-07,5.5320348,0.063,0.114
116,-46.25,43.15,0.5165275770261554,0.2600107218155305,0.22346170115831418,5.30360030461086e-07,2.694897448157494e-07,5.4777975,0.061,0.111
117,-51.25,43.15,0.5480141569380196,0.23755960433238338,0.214426238729597,5.290319747138449e-07,2.6065401547752817e-07,5.4003941,0.059,0.11
118,-56.25,43.15,0.5866315677483238,0.20676334206615973,0.2066050901855164,5.207837327719217e-07,2.474004214701962e-07,5.312373200000001,0.056,0.106
119,-61.25,43.15,0.6148310482455102,0.18899367734820938,0.19617527440628033,4.798635079325044e-07,2.2089323345553238e-07,5.2230316,0.05,0.095
120,23.75,48.15,0.16870285752532746,0.625256679196792,0.20604046327788056,4.6082345224915505e-07,2.915790681613027e-07,5.7842196,0.066,0.114
121,18.75,48.15,0.1965505385629407,0.5986689427057149,0.20478051873134426,4.974599951362616e-07,3.0925052683774533e-07,5.756973299999999,0.07,0.121
122,13.75,48.15,0.20538409009991307,0.5777176369241531,0.21689827297593378,5.104752838596392e-07,3.180862561759665e-07,5.7842158,0.072,0.124
123,8.75,48.15,0.22670150822832988,0.5565588457903329,0.21673964598133716,5.244479036097393e-07,3.225041208450772e-07,5.7656467,0.073,0.127
124,3.75,48.15,0.2387318165638677,0.5320418782902667,0.22922630514586548,5.312913670857637e-07,3.269219855141878e-07,5.7914794,0.074,0.128
125,-1.25,48.15,0.25883871882235815,0.5052417190476532,0.23591956212998855,5.283897311895361e-07,3.225041208450772e-07,5.7937477,0.073,0.127
126,-6.25,48.15,0.262755178564157,0.4911419356710359,0.24610288576480707,5.261828332330645e-07,3.225041208450772e-07,5.8199257,0.073,0.126
127,-11.25,48.15,0.2984130706830221,0.4532301610938959,0.24835676822308209,5.446342760028236e-07,3.269219855141878e-07,5.796095899999999,0.074,0.128
128,-16.25,48.15,0.3186780923480998,0.42748155525659454,0.2538403523953056,5.422015110041372e-07,3.225041208450772e-07,5.7940485,0.073,0.127
